file_name,label,min_odleglosc_pix,predkosc,kat,czy_w_tunelu_pod_obrecza,net_moved
scored4.mp4,hit,10.6,0,0,TRUE,TRUE
scored63.mp4,hit,32.61,20.12,26.57,FALSE,FALSE
scored62.mp4,hit,8.71,19.21,38.66,FALSE,TRUE
scored5.mp4,hit,43.63,19.24,171.03,FALSE,FALSE
scored7.mp4,hit,3.3,10.3,60.95,TRUE,TRUE
scored60.mp4,hit,24.13,23.26,25.46,FALSE,FALSE
scored48.mp4,hit,7.32,15.23,23.2,FALSE,TRUE
scored49.mp4,hit,17.93,24.41,55.01,FALSE,TRUE
scored61.mp4,hit,46.36,17.49,30.96,FALSE,FALSE
scored6.mp4,hit,15.36,0,0,FALSE,TRUE
scored2.mp4,hit,31.19,24.41,145.01,FALSE,TRUE
scored59.mp4,hit,12.39,6.08,9.46,TRUE,TRUE
scored65.mp4,hit,4.03,20.62,22.83,TRUE,TRUE
scored64.mp4,hit,4.38,18.44,139.4,FALSE,TRUE
scored58.mp4,hit,10.29,17.89,153.43,TRUE,TRUE
scored3.mp4,hit,19.61,5.39,68.2,TRUE,TRUE
scored1.mp4,hit,23.39,0,0,TRUE,TRUE
scored66.mp4,hit,7.81,6.32,108.43,FALSE,TRUE
scored67.mp4,hit,8.36,0,0,TRUE,TRUE
scored14.mp4,hit,28.5,24.7,121.76,TRUE,TRUE
scored28.mp4,hit,25.54,0,0,TRUE,TRUE
scored29.mp4,hit,31.37,0,0,FALSE,TRUE
scored15.mp4,hit,15.42,0,0,TRUE,TRUE
scored17.mp4,hit,38.29,13,67.38,FALSE,FALSE
scored16.mp4,hit,40.9,17.12,-173.29,FALSE,FALSE
scored12.mp4,hit,19.38,12.53,61.39,FALSE,TRUE
scored13.mp4,hit,26.21,25.5,138.18,TRUE,TRUE
scored39.mp4,hit,9.08,13.89,59.74,FALSE,TRUE
scored11.mp4,hit,42.37,10.2,-168.69,FALSE,FALSE
scored10.mp4,hit,18.36,25.63,159.44,TRUE,TRUE
scored38.mp4,hit,4.25,4.47,63.43,TRUE,TRUE
scored35.mp4,miss,36.12,11.18,116.57,FALSE,FALSE
scored21.mp4,hit,12.76,9.43,57.99,FALSE,TRUE
scored20.mp4,hit,15.47,16.12,60.26,TRUE,TRUE
scored34.mp4,hit,14.89,19.85,130.91,TRUE,TRUE
scored22.mp4,hit,16.83,0,0,FALSE,TRUE
scored36.mp4,hit,18.85,18.44,139.4,TRUE,TRUE
scored37.mp4,hit,30.33,18.87,147.99,TRUE,TRUE
scored23.mp4,hit,21.91,14.21,140.71,TRUE,TRUE
scored27.mp4,hit,20.26,5,126.87,TRUE,TRUE
scored33.mp4,hit,26.15,18.6,143.75,FALSE,TRUE
scored32.mp4,hit,6.98,0,0,TRUE,TRUE
scored18.mp4,hit,25.56,0,0,FALSE,TRUE
scored30.mp4,hit,27.15,0,0,TRUE,TRUE
scored24.mp4,hit,22.4,13.34,77.01,FALSE,TRUE
scored25.mp4,hit,12.22,10.05,84.29,TRUE,TRUE
scored31.mp4,hit,31.44,0,0,FALSE,TRUE
scored19.mp4,hit,24.16,26.08,122.47,FALSE,TRUE
scored56.mp4,hit,8.21,3.16,71.57,TRUE,TRUE
scored42.mp4,hit,12.3,19.21,141.34,FALSE,TRUE
scored43.mp4,hit,15.02,17.89,116.57,TRUE,TRUE
scored57.mp4,hit,11.35,6.08,9.46,TRUE,TRUE
scored41.mp4,hit,29.06,10,36.87,FALSE,FALSE
scored55.mp4,hit,2.92,21.47,27.76,FALSE,TRUE
scored69.mp4,hit,15.77,24.04,45,TRUE,TRUE
scored68.mp4,hit,8.25,18.25,80.54,TRUE,TRUE
scored54.mp4,hit,8.56,16.4,142.43,TRUE,TRUE
scored40.mp4,hit,21.34,23.41,160.02,TRUE,TRUE
scored44.mp4,hit,32.03,14.87,160.35,FALSE,FALSE
scored50.mp4,hit,17.17,18.97,18.43,TRUE,TRUE
scored51.mp4,hit,19.47,22.83,28.81,FALSE,TRUE
scored45.mp4,hit,3.09,8.49,135,TRUE,TRUE
scored8.mp4,hit,34.76,19.24,62.1,TRUE,TRUE
scored53.mp4,hit,14.19,23.85,146.98,FALSE,TRUE
scored47.mp4,hit,20.73,25.61,38.66,TRUE,TRUE
scored46.mp4,hit,11.48,8.06,82.87,TRUE,TRUE
scored52.mp4,hit,7.34,5.83,120.96,TRUE,TRUE
scored9.mp4,hit,28.65,25,143.13,TRUE,TRUE
missed57.mp4,miss,45.84,18.38,22.38,FALSE,FALSE
missed43.mp4,miss,50.25,22.8,164.74,FALSE,FALSE
missed42.mp4,miss,10.63,12.04,48.37,TRUE,TRUE
missed56.mp4,miss,19.77,21.4,37.41,FALSE,FALSE
missed40.mp4,miss,45.92,16.49,165.96,FALSE,FALSE
missed54.mp4,miss,48.64,21.47,27.76,FALSE,FALSE
missed55.mp4,miss,31.18,18.79,25.2,FALSE,FALSE
missed41.mp4,miss,39.96,20.12,153.43,FALSE,FALSE
missed45.mp4,miss,40.35,20.88,16.7,FALSE,FALSE
missed51.mp4,miss,29.48,21.47,27.76,FALSE,FALSE
missed50.mp4,miss,49.16,22.36,10.3,FALSE,FALSE
missed44.mp4,miss,38.52,21.02,154.65,FALSE,FALSE
missed52.mp4,miss,53.44,18.87,32.01,FALSE,FALSE
missed46.mp4,miss,82.74,19.85,49.09,FALSE,FALSE
missed47.mp4,miss,33.62,20.25,20.22,FALSE,FALSE
missed53.mp4,miss,45.34,20.62,22.83,FALSE,FALSE
missed34.mp4,miss,62.42,26.25,107.74,FALSE,FALSE
missed20.mp4,miss,46.62,22.8,164.74,FALSE,FALSE
missed21.mp4,miss,39.62,22.47,159.15,FALSE,FALSE
missed35.mp4,miss,30.01,18.87,147.99,FALSE,FALSE
missed9.mp4,miss,35.98,14.14,98.13,FALSE,FALSE
missed23.mp4,miss,39.77,20.4,168.69,FALSE,FALSE
missed37.mp4,miss,55.76,18.38,135,FALSE,FALSE
missed36.mp4,miss,19.81,3.16,71.57,TRUE,TRUE
missed22.mp4,miss,42.78,24.7,158.63,FALSE,FALSE
missed8.mp4,miss,27.25,18.38,157.62,TRUE,FALSE
missed26.mp4,miss,284.15,24.04,-135,FALSE,FALSE
missed32.mp4,miss,40.51,22.14,161.57,FALSE,FALSE
missed33.mp4,miss,40.86,19,180,FALSE,FALSE
missed27.mp4,miss,37.03,21.54,158.2,FALSE,FALSE
missed31.mp4,miss,19.88,17.46,156.37,TRUE,TRUE
missed25.mp4,miss,44.35,17.46,166.76,FALSE,TRUE
missed19.mp4,miss,32.64,24.04,163.07,FALSE,FALSE
missed18.mp4,miss,51.08,22.2,172.23,FALSE,FALSE
missed24.mp4,miss,66.67,19.85,49.09,FALSE,FALSE
missed30.mp4,miss,28.71,0,0,TRUE,TRUE
missed3.mp4,miss,50.71,15.65,116.57,FALSE,FALSE
missed29.mp4,miss,58.24,21.1,174.56,FALSE,FALSE
missed15.mp4,miss,48.31,16.28,169.38,FALSE,FALSE
missed14.mp4,miss,19.13,9.22,102.53,TRUE,TRUE
missed28.mp4,miss,43.71,19.7,66.04,FALSE,FALSE
missed2.mp4,miss,23.95,26.08,147.53,TRUE,FALSE
missed16.mp4,miss,37.48,23.41,160.02,TRUE,FALSE
missed17.mp4,miss,30.1,21.93,155.77,FALSE,TRUE
missed1.mp4,miss,45.59,17,151.93,FALSE,FALSE
missed5.mp4,miss,40.36,4.47,116.57,FALSE,FALSE
missed13.mp4,miss,44.52,22.14,161.57,FALSE,FALSE
missed12.mp4,miss,48.99,18.03,109.44,FALSE,FALSE
missed4.mp4,miss,23.89,21.26,138.81,FALSE,TRUE
missed6.mp4,miss,38.16,17.09,110.56,FALSE,FALSE
missed10.mp4,miss,39.77,21.38,169.22,FALSE,FALSE
missed38.mp4,miss,34.26,20.62,165.96,FALSE,FALSE
missed39.mp4,miss,39.66,17.69,132.71,FALSE,FALSE
missed11.mp4,miss,11.56,12,90,TRUE,TRUE
missed7.mp4,miss,44.51,21.19,160.71,FALSE,FALSE
missed62.mp4,miss,30.32,6.08,9.46,FALSE,TRUE
missed63.mp4,miss,37.95,21.63,33.69,FALSE,FALSE
missed49.mp4,miss,13.53,1.41,135,TRUE,TRUE
missed61.mp4,miss,59.21,22.47,32.28,FALSE,FALSE
missed60.mp4,miss,43.51,20.25,20.22,FALSE,FALSE
missed48.mp4,miss,35.33,13.15,8.75,FALSE,FALSE
missed64.mp4,miss,30.49,10.2,101.31,TRUE,TRUE
missed58.mp4,miss,37.72,20.12,26.57,FALSE,FALSE
missed59.mp4,miss,9.4,24.76,46.64,TRUE,TRUE
missed65.mp4,miss,21.96,0,0,FALSE,TRUE
missed67.mp4,miss,23.66,14.76,61.7,TRUE,TRUE
missed66.mp4,miss,14.85,5.1,101.31,TRUE,TRUE
