file_name,label,min_odleglosc_pix,predkosc,kat,czy_w_tunelu_pod_obrecza,net_moved
scored4.mp4,hit,10.6,4.47,116.57,TRUE,TRUE
scored63.mp4,hit,2.11,2.83,45,TRUE,TRUE
scored62.mp4,hit,8.71,10.05,95.71,FALSE,TRUE
scored5.mp4,hit,17.85,5.66,45,TRUE,TRUE
scored7.mp4,hit,3.3,18.25,170.54,TRUE,TRUE
scored60.mp4,hit,24.13,23.26,25.46,FALSE,TRUE
scored48.mp4,hit,7.32,14.76,28.3,FALSE,TRUE
scored49.mp4,hit,17.93,22.2,54.16,FALSE,TRUE
scored61.mp4,hit,15.08,2.83,45,TRUE,TRUE
scored6.mp4,hit,15.36,28.6,143.53,FALSE,TRUE
scored2.mp4,hit,31.19,22.36,153.43,FALSE,TRUE
scored59.mp4,hit,12.39,6.08,9.46,TRUE,TRUE
scored65.mp4,hit,4.03,19.92,17.53,TRUE,TRUE
scored64.mp4,hit,4.38,18.36,150.64,FALSE,TRUE
scored58.mp4,hit,10.29,25.08,23.5,TRUE,TRUE
scored3.mp4,hit,19.61,6.71,63.43,TRUE,TRUE
scored1.mp4,hit,23.39,23.71,152.35,TRUE,TRUE
scored66.mp4,hit,7.81,19.42,34.51,TRUE,TRUE
scored67.mp4,hit,8.36,15.52,14.93,TRUE,TRUE
scored14.mp4,hit,28.5,23.85,123.02,TRUE,TRUE
scored28.mp4,hit,25.54,16.12,60.26,TRUE,TRUE
scored29.mp4,hit,31.37,15.26,121.61,FALSE,TRUE
scored15.mp4,hit,15.42,3,0,TRUE,TRUE
scored17.mp4,hit,13.09,1.41,-135,TRUE,TRUE
scored16.mp4,hit,19.65,2.24,116.57,TRUE,TRUE
scored12.mp4,hit,19.38,10.82,33.69,TRUE,TRUE
scored13.mp4,hit,26.21,21.4,142.59,TRUE,TRUE
scored39.mp4,hit,9.08,20.62,140.91,TRUE,TRUE
scored11.mp4,hit,19.37,2.24,-63.43,TRUE,TRUE
scored10.mp4,hit,18.36,22.02,177.4,TRUE,TRUE
scored38.mp4,hit,4.25,17.8,141.84,FALSE,TRUE
scored35.mp4,hit,36.12,11.18,116.57,FALSE,FALSE
scored21.mp4,hit,12.76,20.4,168.69,FALSE,TRUE
scored20.mp4,hit,15.47,13.04,57.53,TRUE,TRUE
scored34.mp4,hit,14.89,18.38,135,TRUE,TRUE
scored22.mp4,hit,16.83,18.38,157.62,TRUE,TRUE
scored36.mp4,hit,18.85,17.49,149.04,TRUE,FALSE
scored37.mp4,hit,30.33,18.87,147.99,TRUE,TRUE
scored23.mp4,hit,21.91,12.65,161.57,TRUE,TRUE
scored27.mp4,hit,20.26,17.8,141.84,TRUE,TRUE
scored33.mp4,hit,26.15,17.49,149.04,FALSE,TRUE
scored32.mp4,hit,6.98,14.87,132.27,TRUE,TRUE
scored18.mp4,hit,25.56,20.1,174.29,FALSE,TRUE
scored30.mp4,hit,27.15,4.12,14.04,TRUE,TRUE
scored24.mp4,hit,22.4,6.4,51.34,FALSE,TRUE
scored25.mp4,hit,12.22,3.16,71.57,TRUE,TRUE
scored31.mp4,hit,31.44,15.26,121.61,FALSE,TRUE
scored19.mp4,hit,24.16,23.35,133.26,TRUE,TRUE
scored56.mp4,hit,8.21,2.83,45,TRUE,TRUE
scored42.mp4,hit,12.3,19.21,141.34,FALSE,TRUE
scored43.mp4,hit,15.02,18.36,119.36,TRUE,TRUE
scored57.mp4,hit,11.35,7.28,-15.95,TRUE,TRUE
